2021-08-19 14:29:14.995 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2021-08-19 14:29:15.016 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2021-08-19 14:29:15.149 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2021-08-19 14:29:15.155 [main] INFO  org.springframework.context.support.DefaultLifecycleProcessor - Starting beans in phase 2147483647
2021-08-19 14:29:15.155 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2021-08-19 14:29:15.166 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2021-08-19 14:29:15.174 [main] INFO  springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2021-08-19 14:29:15.365 [main] INFO  org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8888 (http)
2021-08-19 14:29:15.370 [main] INFO  com.course.Application - Started Application in 2.537 seconds (JVM running for 3.263)
2021-08-19 14:30:25.479 [http-nio-8888-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2021-08-19 14:30:25.480 [http-nio-8888-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
2021-08-19 14:30:25.497 [http-nio-8888-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 17 ms
2021-08-19 14:30:25.740 [http-nio-8888-exec-1] INFO  com.course.controller.UserManager - 查看到的结果是1
2021-08-19 14:30:25.800 [http-nio-8888-exec-2] INFO  com.course.controller.UserManager - 查看到的结果是0
2021-08-19 14:30:25.834 [http-nio-8888-exec-3] INFO  com.course.controller.UserManager - cookies验证通过
2021-08-19 14:30:25.837 [http-nio-8888-exec-3] INFO  com.course.controller.UserManager - 添加用户的数量是:1
2021-08-19 14:30:25.899 [http-nio-8888-exec-4] INFO  com.course.controller.UserManager - cookies验证通过
2021-08-19 14:30:25.912 [http-nio-8888-exec-4] INFO  com.course.controller.UserManager - getUserInfo获取到的用户数量是1
2021-08-19 14:30:25.952 [http-nio-8888-exec-5] INFO  com.course.controller.UserManager - cookies验证通过
2021-08-19 14:30:25.955 [http-nio-8888-exec-5] INFO  com.course.controller.UserManager - 更新数据的条目数为:1
2021-08-19 14:30:26.031 [http-nio-8888-exec-6] INFO  com.course.controller.UserManager - cookies验证通过
2021-08-19 14:30:26.033 [http-nio-8888-exec-6] INFO  com.course.controller.UserManager - 更新数据的条目数为:1
2021-08-19 14:30:26.079 [http-nio-8888-exec-7] INFO  com.course.controller.UserManager - cookies验证通过
2021-08-19 14:30:26.081 [http-nio-8888-exec-7] INFO  com.course.controller.UserManager - getUserInfo获取到的用户数量是4
2021-08-19 16:38:23.389 [http-nio-8888-exec-9] INFO  com.course.controller.UserManager - 查看到的结果是1
2021-08-19 16:38:23.441 [http-nio-8888-exec-10] INFO  com.course.controller.UserManager - 查看到的结果是0
2021-08-19 16:38:23.473 [http-nio-8888-exec-1] INFO  com.course.controller.UserManager - cookies验证通过
2021-08-19 16:38:23.478 [http-nio-8888-exec-1] INFO  com.course.controller.UserManager - 添加用户的数量是:1
2021-08-19 16:38:23.539 [http-nio-8888-exec-2] INFO  com.course.controller.UserManager - cookies验证通过
2021-08-19 16:38:23.541 [http-nio-8888-exec-2] INFO  com.course.controller.UserManager - getUserInfo获取到的用户数量是1
